artifact_path,artifact_type,manuscript_section,manuscript_label_proposed,caption_short,status
results/paper_table_experiment_parameters.csv,table,Methods - Experiment setup,Table M1,"Experiment parameters: predictors, lags, horizons, CV, models, metrics",ready
results/paper_table_pynnlf_output_artifacts.csv,table,Methods - PyNNLF workflow outputs,Table M2,"PyNNLF output files, contents, and purpose",ready
results/paper_table_model_selection_recommendation.csv,table,Results - Model selection recommendation,Table M3,"Pareto, utility, and satisficing recommendation outputs",ready
results/03_aedp_aggregation_level/figures/fig10_aedp_agg_nrmse_mean_std_cvbg.png,figure,Results - Aggregation level comparison,Figure A1,Aggregation nRMSE: sample mean +- SD with fold background,ready
results/03_aedp_aggregation_level/figures/fig11_aedp_agg_rmse_per_hh_mean_std_cvbg.png,figure,Results - Aggregation level comparison,Figure A2,Aggregation RMSE per household: sample mean +- SD with fold background,ready
results/03_aedp_aggregation_level/figures/fig12a_aedp_agg1_actual_vs_forecast_timeseries_naive_lr_xgb.png,figure,Results - Aggregation level comparison,Figure A3(a),Actual vs forecast (1 household),ready
results/03_aedp_aggregation_level/figures/fig12b_aedp_agg10_actual_vs_forecast_timeseries_naive_lr_xgb.png,figure,Results - Aggregation level comparison,Figure A3(b),Actual vs forecast (10 households),ready
results/03_aedp_aggregation_level/figures/fig12c_aedp_agg100_actual_vs_forecast_timeseries_naive_lr_xgb.png,figure,Results - Aggregation level comparison,Figure A3(c),Actual vs forecast (100 households),ready
results/03_aedp_aggregation_level/figures/fig12d_aedp_agg1000_actual_vs_forecast_timeseries_naive_lr_xgb.png,figure,Results - Aggregation level comparison,Figure A3(d),Actual vs forecast (1000 households),ready
results/03_aedp_aggregation_level/figures/fig13a_aedp_agg1_actual_vs_forecast_scatter_naive_lr_xgb.png,figure,Results - Aggregation level comparison,Figure A4(a),Scatter actual vs forecast (1 household),ready
results/03_aedp_aggregation_level/figures/fig13b_aedp_agg10_actual_vs_forecast_scatter_naive_lr_xgb.png,figure,Results - Aggregation level comparison,Figure A4(b),Scatter actual vs forecast (10 households),ready
results/03_aedp_aggregation_level/figures/fig13c_aedp_agg100_actual_vs_forecast_scatter_naive_lr_xgb.png,figure,Results - Aggregation level comparison,Figure A4(c),Scatter actual vs forecast (100 households),ready
results/03_aedp_aggregation_level/figures/fig13d_aedp_agg1000_actual_vs_forecast_scatter_naive_lr_xgb.png,figure,Results - Aggregation level comparison,Figure A4(d),Scatter actual vs forecast (1000 households),ready
results/04_sa_bess_clean_44hh/figures/fig20_sa_bess_composition_actual_vs_forecast_timeseries.png,figure,Results - Load composition comparison,Figure B1,Time series actual vs forecast across load compositions with reading-based PV and battery overlays,ready
results/04_sa_bess_clean_44hh/figures/fig21_sa_bess_composition_error_timeseries.png,figure,Results - Load composition comparison,Figure B2,Forecast error time series across load compositions,ready
results/01_ashd_aedp_148hh_comparison/figures/fig30_ashd_vs_aedp_xgb_actual_vs_forecast_daypair.png,figure,Results - Dataset comparison,Figure C1,XGBoost actual vs forecast for ASHD vs AEDP (representative 1-week windows) with peak-demand lines,ready
results/01_ashd_aedp_148hh_comparison/figures/fig31_ashd_vs_aedp_xgb_error_profile_daypair.png,figure,Results - Dataset comparison,Figure C2,XGBoost error profile for ASHD vs AEDP,ready
results/02_ashd_148hh_forecast_horizon/figures/fig40_ashd_horizons_xgb_actual_vs_forecast.png,figure,Results - Forecast horizon comparison,Figure D1,"XGBoost actual vs forecast for 30-min, 1-day, and 1-week horizons",ready
results/02_ashd_148hh_forecast_horizon/figures/fig41_ashd_horizons_xgb_error_summary.png,figure,Results - Forecast horizon comparison,Figure D2,XGBoost horizon error summary,ready
